COMMUNITY_AREA_NUMBER,PERCENT_OF_HOUSING_CROWDED,PERCENT_HOUSEHOLDS_BELOW_POVERTY,PERCENT_AGED_16__UNEMPLOYED,PERCENT_AGED_25__WITHOUT_HIGH_SCHOOL_DIPLOMA,PERCENT_AGED_UNDER_18_OR_OVER_64,PER_CAPITA_INCOME,PRIMARY_TYPE,HARDSHIP_INDEX,INCOME_PER_CAPITA,AVG_SCORE
23,14.8,33.9,17.3,35.4,38.0,13781,NON-CRIMINAL (SUBJECT SPECIFIED),85,406.52,141650.0
23,14.8,33.9,17.3,35.4,38.0,13781,NARCOTICS,85,406.52,141650.0
23,14.8,33.9,17.3,35.4,38.0,13781,NARCOTICS,85,406.52,141650.0
23,14.8,33.9,17.3,35.4,38.0,13781,NARCOTICS,85,406.52,141650.0
23,14.8,33.9,17.3,35.4,38.0,13781,OTHER OFFENSE,85,406.52,141650.0
23,14.8,33.9,17.3,35.4,38.0,13781,OTHER OFFENSE,85,406.52,141650.0
23,14.8,33.9,17.3,35.4,38.0,13781,OTHER OFFENSE,85,406.52,141650.0
23,14.8,33.9,17.3,35.4,38.0,13781,BATTERY,85,406.52,141650.0
23,14.8,33.9,17.3,35.4,38.0,13781,BATTERY,85,406.52,141650.0
23,14.8,33.9,17.3,35.4,38.0,13781,CRIMINAL DAMAGE,85,406.52,141650.0
23,14.8,33.9,17.3,35.4,38.0,13781,NARCOTICS,85,406.52,141650.0
23,14.8,33.9,17.3,35.4,38.0,13781,NARCOTICS,85,406.52,141650.0
23,14.8,33.9,17.3,35.4,38.0,13781,NARCOTICS,85,406.52,141650.0
68,3.8,46.6,28.0,28.5,42.5,11888,THEFT,94,255.11,101145.0
68,3.8,46.6,28.0,28.5,42.5,11888,THEFT,94,255.11,101145.0
68,3.8,46.6,28.0,28.5,42.5,11888,THEFT,94,255.11,101145.0
68,3.8,46.6,28.0,28.5,42.5,11888,THEFT,94,255.11,101145.0
68,3.8,46.6,28.0,28.5,42.5,11888,THEFT,94,255.11,101145.0
68,3.8,46.6,28.0,28.5,42.5,11888,BATTERY,94,255.11,101145.0
68,3.8,46.6,28.0,28.5,42.5,11888,MOTOR VEHICLE THEFT,94,255.11,101145.0
68,3.8,46.6,28.0,28.5,42.5,11888,MOTOR VEHICLE THEFT,94,255.11,101145.0
68,3.8,46.6,28.0,28.5,42.5,11888,CRIM SEXUAL ASSAULT,94,255.11,101145.0
68,3.8,46.6,28.0,28.5,42.5,11888,ASSAULT,94,255.11,101145.0
68,3.8,46.6,28.0,28.5,42.5,11888,ASSAULT,94,255.11,101145.0
68,3.8,46.6,28.0,28.5,42.5,11888,ASSAULT,94,255.11,101145.0
68,3.8,46.6,28.0,28.5,42.5,11888,ASSAULT,94,255.11,101145.0
68,3.8,46.6,28.0,28.5,42.5,11888,BURGLARY,94,255.11,101145.0
68,3.8,46.6,28.0,28.5,42.5,11888,BURGLARY,94,255.11,101145.0
68,3.8,46.6,28.0,28.5,42.5,11888,BATTERY,94,255.11,101145.0
68,3.8,46.6,28.0,28.5,42.5,11888,BATTERY,94,255.11,101145.0
68,3.8,46.6,28.0,28.5,42.5,11888,BATTERY,94,255.11,101145.0
68,3.8,46.6,28.0,28.5,42.5,11888,CRIMINAL DAMAGE,94,255.11,101145.0
68,3.8,46.6,28.0,28.5,42.5,11888,NARCOTICS,94,255.11,101145.0
68,3.8,46.6,28.0,28.5,42.5,11888,OTHER OFFENSE,94,255.11,101145.0
26,9.4,41.7,25.8,24.5,43.6,10934,THEFT,92,262.21,162722.0
26,9.4,41.7,25.8,24.5,43.6,10934,BATTERY,92,262.21,162722.0
26,9.4,41.7,25.8,24.5,43.6,10934,BATTERY,92,262.21,162722.0
26,9.4,41.7,25.8,24.5,43.6,10934,CRIMINAL DAMAGE,92,262.21,162722.0
26,9.4,41.7,25.8,24.5,43.6,10934,NARCOTICS,92,262.21,162722.0
26,9.4,41.7,25.8,24.5,43.6,10934,NARCOTICS,92,262.21,162722.0
26,9.4,41.7,25.8,24.5,43.6,10934,OTHER OFFENSE,92,262.21,162722.0
26,9.4,41.7,25.8,24.5,43.6,10934,ASSAULT,92,262.21,162722.0
26,9.4,41.7,25.8,24.5,43.6,10934,MOTOR VEHICLE THEFT,92,262.21,162722.0
26,9.4,41.7,25.8,24.5,43.6,10934,ROBBERY,92,262.21,162722.0
30,15.2,30.7,15.8,54.8,33.8,10402,THEFT,96,338.83,144744.0
30,15.2,30.7,15.8,54.8,33.8,10402,THEFT,96,338.83,144744.0
30,15.2,30.7,15.8,54.8,33.8,10402,BATTERY,96,338.83,144744.0
30,15.2,30.7,15.8,54.8,33.8,10402,BATTERY,96,338.83,144744.0
30,15.2,30.7,15.8,54.8,33.8,10402,BATTERY,96,338.83,144744.0
30,15.2,30.7,15.8,54.8,33.8,10402,CRIMINAL DAMAGE,96,338.83,144744.0
30,15.2,30.7,15.8,54.8,33.8,10402,BURGLARY,96,338.83,144744.0
30,15.2,30.7,15.8,54.8,33.8,10402,ROBBERY,96,338.83,144744.0
5,0.3,7.5,5.2,4.5,26.2,57123,THEFT,6,7616.4,0.0
5,0.3,7.5,5.2,4.5,26.2,57123,BATTERY,6,7616.4,0.0
5,0.3,7.5,5.2,4.5,26.2,57123,CRIMINAL DAMAGE,6,7616.4,0.0
5,0.3,7.5,5.2,4.5,26.2,57123,ROBBERY,6,7616.4,0.0
61,11.9,29.0,23.0,41.5,38.9,12765,THEFT,91,440.17,138078.0
61,11.9,29.0,23.0,41.5,38.9,12765,BATTERY,91,440.17,138078.0
61,11.9,29.0,23.0,41.5,38.9,12765,BATTERY,91,440.17,138078.0
61,11.9,29.0,23.0,41.5,38.9,12765,BATTERY,91,440.17,138078.0
61,11.9,29.0,23.0,41.5,38.9,12765,CRIMINAL DAMAGE,91,440.17,138078.0
61,11.9,29.0,23.0,41.5,38.9,12765,NARCOTICS,91,440.17,138078.0
61,11.9,29.0,23.0,41.5,38.9,12765,NARCOTICS,91,440.17,138078.0
61,11.9,29.0,23.0,41.5,38.9,12765,OTHER OFFENSE,91,440.17,138078.0
61,11.9,29.0,23.0,41.5,38.9,12765,BURGLARY,91,440.17,138078.0
61,11.9,29.0,23.0,41.5,38.9,12765,SEX OFFENSE,91,440.17,138078.0
2,7.8,17.2,8.8,20.8,38.5,23040,THEFT,46,1339.53,158250.0
2,7.8,17.2,8.8,20.8,38.5,23040,BATTERY,46,1339.53,158250.0
2,7.8,17.2,8.8,20.8,38.5,23040,BATTERY,46,1339.53,158250.0
2,7.8,17.2,8.8,20.8,38.5,23040,OTHER OFFENSE,46,1339.53,158250.0
2,7.8,17.2,8.8,20.8,38.5,23040,OTHER OFFENSE,46,1339.53,158250.0
2,7.8,17.2,8.8,20.8,38.5,23040,DECEPTIVE PRACTICE,46,1339.53,158250.0
2,7.8,17.2,8.8,20.8,38.5,23040,ROBBERY,46,1339.53,158250.0
16,6.3,13.1,10.0,22.4,31.6,27249,THEFT,34,2080.08,0.0
16,6.3,13.1,10.0,22.4,31.6,27249,BATTERY,34,2080.08,0.0
16,6.3,13.1,10.0,22.4,31.6,27249,CRIMINAL DAMAGE,34,2080.08,0.0
16,6.3,13.1,10.0,22.4,31.6,27249,CRIMINAL DAMAGE,34,2080.08,0.0
16,6.3,13.1,10.0,22.4,31.6,27249,MOTOR VEHICLE THEFT,34,2080.08,0.0
16,6.3,13.1,10.0,22.4,31.6,27249,MOTOR VEHICLE THEFT,34,2080.08,0.0
16,6.3,13.1,10.0,22.4,31.6,27249,DECEPTIVE PRACTICE,34,2080.08,0.0
16,6.3,13.1,10.0,22.4,31.6,27249,STALKING,34,2080.08,0.0
66,7.6,27.9,17.1,31.2,40.6,13231,THEFT,80,474.23,94413.0
66,7.6,27.9,17.1,31.2,40.6,13231,THEFT,80,474.23,94413.0
66,7.6,27.9,17.1,31.2,40.6,13231,THEFT,80,474.23,94413.0
66,7.6,27.9,17.1,31.2,40.6,13231,BATTERY,80,474.23,94413.0
66,7.6,27.9,17.1,31.2,40.6,13231,CRIMINAL DAMAGE,80,474.23,94413.0
66,7.6,27.9,17.1,31.2,40.6,13231,NARCOTICS,80,474.23,94413.0
66,7.6,27.9,17.1,31.2,40.6,13231,NARCOTICS,80,474.23,94413.0
66,7.6,27.9,17.1,31.2,40.6,13231,MOTOR VEHICLE THEFT,80,474.23,94413.0
66,7.6,27.9,17.1,31.2,40.6,13231,MOTOR VEHICLE THEFT,80,474.23,94413.0
66,7.6,27.9,17.1,31.2,40.6,13231,CRIMINAL TRESPASS,80,474.23,94413.0
66,7.6,27.9,17.1,31.2,40.6,13231,WEAPONS VIOLATION,80,474.23,94413.0
66,7.6,27.9,17.1,31.2,40.6,13231,GAMBLING,80,474.23,94413.0
52,6.8,19.2,12.1,31.9,42.8,17104,CRIMINAL DAMAGE,64,890.83,11400.0
52,6.8,19.2,12.1,31.9,42.8,17104,BURGLARY,64,890.83,11400.0
19,10.8,18.7,14.6,37.3,37.3,15461,BATTERY,70,826.79,0.0
19,10.8,18.7,14.6,37.3,37.3,15461,BATTERY,70,826.79,0.0
19,10.8,18.7,14.6,37.3,37.3,15461,BATTERY,70,826.79,0.0
19,10.8,18.7,14.6,37.3,37.3,15461,CRIMINAL DAMAGE,70,826.79,0.0
19,10.8,18.7,14.6,37.3,37.3,15461,OTHER OFFENSE,70,826.79,0.0
19,10.8,18.7,14.6,37.3,37.3,15461,BURGLARY,70,826.79,0.0
19,10.8,18.7,14.6,37.3,37.3,15461,MOTOR VEHICLE THEFT,70,826.79,0.0
19,10.8,18.7,14.6,37.3,37.3,15461,SEX OFFENSE,70,826.79,0.0
39,2.4,21.7,15.7,11.3,35.4,35911,THEFT,26,1654.88,0.0
39,2.4,21.7,15.7,11.3,35.4,35911,BATTERY,26,1654.88,0.0
39,2.4,21.7,15.7,11.3,35.4,35911,BATTERY,26,1654.88,0.0
39,2.4,21.7,15.7,11.3,35.4,35911,OTHER OFFENSE,26,1654.88,0.0
42,2.9,30.7,23.4,16.5,36.1,18672,THEFT,58,608.21,64183.0
42,2.9,30.7,23.4,16.5,36.1,18672,BATTERY,58,608.21,64183.0
42,2.9,30.7,23.4,16.5,36.1,18672,NARCOTICS,58,608.21,64183.0
42,2.9,30.7,23.4,16.5,36.1,18672,NARCOTICS,58,608.21,64183.0
42,2.9,30.7,23.4,16.5,36.1,18672,OTHER OFFENSE,58,608.21,64183.0
42,2.9,30.7,23.4,16.5,36.1,18672,ASSAULT,58,608.21,64183.0
42,2.9,30.7,23.4,16.5,36.1,18672,MOTOR VEHICLE THEFT,58,608.21,64183.0
42,2.9,30.7,23.4,16.5,36.1,18672,PUBLIC PEACE VIOLATION,58,608.21,64183.0
49,2.5,19.8,20.3,16.9,41.2,17949,THEFT,52,906.52,155523.0
49,2.5,19.8,20.3,16.9,41.2,17949,THEFT,52,906.52,155523.0
49,2.5,19.8,20.3,16.9,41.2,17949,THEFT,52,906.52,155523.0
49,2.5,19.8,20.3,16.9,41.2,17949,BATTERY,52,906.52,155523.0
49,2.5,19.8,20.3,16.9,41.2,17949,BATTERY,52,906.52,155523.0
49,2.5,19.8,20.3,16.9,41.2,17949,CRIMINAL DAMAGE,52,906.52,155523.0
49,2.5,19.8,20.3,16.9,41.2,17949,ASSAULT,52,906.52,155523.0
49,2.5,19.8,20.3,16.9,41.2,17949,ASSAULT,52,906.52,155523.0
49,2.5,19.8,20.3,16.9,41.2,17949,BURGLARY,52,906.52,155523.0
49,2.5,19.8,20.3,16.9,41.2,17949,ROBBERY,52,906.52,155523.0
49,2.5,19.8,20.3,16.9,41.2,17949,CRIMINAL TRESPASS,52,906.52,155523.0
70,4.0,10.4,11.7,17.7,36.9,23482,BATTERY,37,2257.88,205252.0
70,4.0,10.4,11.7,17.7,36.9,23482,CRIMINAL DAMAGE,37,2257.88,205252.0
70,4.0,10.4,11.7,17.7,36.9,23482,CRIMINAL DAMAGE,37,2257.88,205252.0
70,4.0,10.4,11.7,17.7,36.9,23482,NARCOTICS,37,2257.88,205252.0
70,4.0,10.4,11.7,17.7,36.9,23482,DECEPTIVE PRACTICE,37,2257.88,205252.0
70,4.0,10.4,11.7,17.7,36.9,23482,CRIMINAL TRESPASS,37,2257.88,205252.0
70,4.0,10.4,11.7,17.7,36.9,23482,OFFENSE INVOLVING CHILDREN,37,2257.88,205252.0
70,4.0,10.4,11.7,17.7,36.9,23482,OBSCENITY,37,2257.88,205252.0
29,7.4,43.1,21.2,27.6,42.7,12034,THEFT,87,279.21,155556.0
29,7.4,43.1,21.2,27.6,42.7,12034,BATTERY,87,279.21,155556.0
29,7.4,43.1,21.2,27.6,42.7,12034,BATTERY,87,279.21,155556.0
29,7.4,43.1,21.2,27.6,42.7,12034,BATTERY,87,279.21,155556.0
29,7.4,43.1,21.2,27.6,42.7,12034,BATTERY,87,279.21,155556.0
29,7.4,43.1,21.2,27.6,42.7,12034,BATTERY,87,279.21,155556.0
29,7.4,43.1,21.2,27.6,42.7,12034,BURGLARY,87,279.21,155556.0
29,7.4,43.1,21.2,27.6,42.7,12034,ROBBERY,87,279.21,155556.0
29,7.4,43.1,21.2,27.6,42.7,12034,WEAPONS VIOLATION,87,279.21,155556.0
29,7.4,43.1,21.2,27.6,42.7,12034,OFFENSE INVOLVING CHILDREN,87,279.21,155556.0
29,7.4,43.1,21.2,27.6,42.7,12034,BATTERY,87,279.21,155556.0
29,7.4,43.1,21.2,27.6,42.7,12034,CRIMINAL DAMAGE,87,279.21,155556.0
29,7.4,43.1,21.2,27.6,42.7,12034,CRIMINAL DAMAGE,87,279.21,155556.0
29,7.4,43.1,21.2,27.6,42.7,12034,NARCOTICS,87,279.21,155556.0
29,7.4,43.1,21.2,27.6,42.7,12034,NARCOTICS,87,279.21,155556.0
29,7.4,43.1,21.2,27.6,42.7,12034,NARCOTICS,87,279.21,155556.0
50,1.5,21.6,22.8,13.1,38.6,20588,THEFT,51,953.15,332229.0
50,1.5,21.6,22.8,13.1,38.6,20588,BATTERY,51,953.15,332229.0
50,1.5,21.6,22.8,13.1,38.6,20588,CRIMINAL DAMAGE,51,953.15,332229.0
12,1.1,7.5,6.8,4.9,40.5,44164,SEX OFFENSE,11,5888.53,331717.0
10,2.0,5.4,9.0,11.5,39.5,32875,CRIMINAL DAMAGE,21,6087.96,318416.0
10,2.0,5.4,9.0,11.5,39.5,32875,CRIMINAL DAMAGE,21,6087.96,318416.0
10,2.0,5.4,9.0,11.5,39.5,32875,ROBBERY,21,6087.96,318416.0
43,2.8,31.1,20.0,14.0,35.7,19398,THEFT,55,623.73,111850.0
43,2.8,31.1,20.0,14.0,35.7,19398,BATTERY,55,623.73,111850.0
43,2.8,31.1,20.0,14.0,35.7,19398,BATTERY,55,623.73,111850.0
43,2.8,31.1,20.0,14.0,35.7,19398,BATTERY,55,623.73,111850.0
43,2.8,31.1,20.0,14.0,35.7,19398,CRIMINAL DAMAGE,55,623.73,111850.0
43,2.8,31.1,20.0,14.0,35.7,19398,NARCOTICS,55,623.73,111850.0
43,2.8,31.1,20.0,14.0,35.7,19398,ASSAULT,55,623.73,111850.0
43,2.8,31.1,20.0,14.0,35.7,19398,BURGLARY,55,623.73,111850.0
43,2.8,31.1,20.0,14.0,35.7,19398,OFFENSE INVOLVING CHILDREN,55,623.73,111850.0
26,9.4,41.7,25.8,24.5,43.6,10934,THEFT,92,262.21,128884.0
26,9.4,41.7,25.8,24.5,43.6,10934,BATTERY,92,262.21,128884.0
26,9.4,41.7,25.8,24.5,43.6,10934,BATTERY,92,262.21,128884.0
26,9.4,41.7,25.8,24.5,43.6,10934,CRIMINAL DAMAGE,92,262.21,128884.0
26,9.4,41.7,25.8,24.5,43.6,10934,NARCOTICS,92,262.21,128884.0
26,9.4,41.7,25.8,24.5,43.6,10934,NARCOTICS,92,262.21,128884.0
26,9.4,41.7,25.8,24.5,43.6,10934,OTHER OFFENSE,92,262.21,128884.0
26,9.4,41.7,25.8,24.5,43.6,10934,ASSAULT,92,262.21,128884.0
26,9.4,41.7,25.8,24.5,43.6,10934,MOTOR VEHICLE THEFT,92,262.21,128884.0
26,9.4,41.7,25.8,24.5,43.6,10934,ROBBERY,92,262.21,128884.0
46,4.7,29.8,19.7,26.6,41.1,16579,THEFT,75,556.34,74684.0
46,4.7,29.8,19.7,26.6,41.1,16579,BATTERY,75,556.34,74684.0
46,4.7,29.8,19.7,26.6,41.1,16579,NARCOTICS,75,556.34,74684.0
46,4.7,29.8,19.7,26.6,41.1,16579,OTHER OFFENSE,75,556.34,74684.0
46,4.7,29.8,19.7,26.6,41.1,16579,BURGLARY,75,556.34,74684.0
46,4.7,29.8,19.7,26.6,41.1,16579,MOTOR VEHICLE THEFT,75,556.34,74684.0
46,4.7,29.8,19.7,26.6,41.1,16579,DECEPTIVE PRACTICE,75,556.34,74684.0
46,4.7,29.8,19.7,26.6,41.1,16579,WEAPONS VIOLATION,75,556.34,74684.0
46,4.7,29.8,19.7,26.6,41.1,16579,HUMAN TRAFFICKING,75,556.34,74684.0
59,7.2,18.7,13.4,32.9,35.6,16954,THEFT,61,906.63,0.0
59,7.2,18.7,13.4,32.9,35.6,16954,THEFT,61,906.63,0.0
8,1.9,12.9,7.0,2.5,22.6,88669,THEFT,1,6873.57,168747.0
8,1.9,12.9,7.0,2.5,22.6,88669,THEFT,1,6873.57,168747.0
8,1.9,12.9,7.0,2.5,22.6,88669,THEFT,1,6873.57,168747.0
8,1.9,12.9,7.0,2.5,22.6,88669,THEFT,1,6873.57,168747.0
8,1.9,12.9,7.0,2.5,22.6,88669,BATTERY,1,6873.57,168747.0
8,1.9,12.9,7.0,2.5,22.6,88669,BATTERY,1,6873.57,168747.0
8,1.9,12.9,7.0,2.5,22.6,88669,PROSTITUTION,1,6873.57,168747.0
8,1.9,12.9,7.0,2.5,22.6,88669,GAMBLING,1,6873.57,168747.0
8,1.9,12.9,7.0,2.5,22.6,88669,OTHER NARCOTIC VIOLATION,1,6873.57,168747.0
8,1.9,12.9,7.0,2.5,22.6,88669,CRIMINAL DAMAGE,1,6873.57,168747.0
8,1.9,12.9,7.0,2.5,22.6,88669,OTHER OFFENSE,1,6873.57,168747.0
8,1.9,12.9,7.0,2.5,22.6,88669,OTHER OFFENSE,1,6873.57,168747.0
8,1.9,12.9,7.0,2.5,22.6,88669,ASSAULT,1,6873.57,168747.0
8,1.9,12.9,7.0,2.5,22.6,88669,DECEPTIVE PRACTICE,1,6873.57,168747.0
8,1.9,12.9,7.0,2.5,22.6,88669,DECEPTIVE PRACTICE,1,6873.57,168747.0
25,6.3,28.6,22.6,24.4,37.9,15957,THEFT,73,557.94,101251.0
25,6.3,28.6,22.6,24.4,37.9,15957,THEFT,73,557.94,101251.0
25,6.3,28.6,22.6,24.4,37.9,15957,THEFT,73,557.94,101251.0
25,6.3,28.6,22.6,24.4,37.9,15957,THEFT,73,557.94,101251.0
25,6.3,28.6,22.6,24.4,37.9,15957,THEFT,73,557.94,101251.0
25,6.3,28.6,22.6,24.4,37.9,15957,THEFT,73,557.94,101251.0
25,6.3,28.6,22.6,24.4,37.9,15957,CONCEALED CARRY LICENSE VIOLATION,73,557.94,101251.0
25,6.3,28.6,22.6,24.4,37.9,15957,MOTOR VEHICLE THEFT,73,557.94,101251.0
25,6.3,28.6,22.6,24.4,37.9,15957,DECEPTIVE PRACTICE,73,557.94,101251.0
25,6.3,28.6,22.6,24.4,37.9,15957,ROBBERY,73,557.94,101251.0
25,6.3,28.6,22.6,24.4,37.9,15957,PROSTITUTION,73,557.94,101251.0
25,6.3,28.6,22.6,24.4,37.9,15957,WEAPONS VIOLATION,73,557.94,101251.0
25,6.3,28.6,22.6,24.4,37.9,15957,KIDNAPPING,73,557.94,101251.0
25,6.3,28.6,22.6,24.4,37.9,15957,ASSAULT,73,557.94,101251.0
25,6.3,28.6,22.6,24.4,37.9,15957,ASSAULT,73,557.94,101251.0
25,6.3,28.6,22.6,24.4,37.9,15957,ASSAULT,73,557.94,101251.0
25,6.3,28.6,22.6,24.4,37.9,15957,BURGLARY,73,557.94,101251.0
25,6.3,28.6,22.6,24.4,37.9,15957,BURGLARY,73,557.94,101251.0
25,6.3,28.6,22.6,24.4,37.9,15957,BURGLARY,73,557.94,101251.0
25,6.3,28.6,22.6,24.4,37.9,15957,NARCOTICS,73,557.94,101251.0
25,6.3,28.6,22.6,24.4,37.9,15957,NARCOTICS,73,557.94,101251.0
25,6.3,28.6,22.6,24.4,37.9,15957,NARCOTICS,73,557.94,101251.0
25,6.3,28.6,22.6,24.4,37.9,15957,OTHER OFFENSE,73,557.94,101251.0
25,6.3,28.6,22.6,24.4,37.9,15957,OTHER OFFENSE,73,557.94,101251.0
25,6.3,28.6,22.6,24.4,37.9,15957,ASSAULT,73,557.94,101251.0
25,6.3,28.6,22.6,24.4,37.9,15957,CRIMINAL DAMAGE,73,557.94,101251.0
25,6.3,28.6,22.6,24.4,37.9,15957,CRIMINAL DAMAGE,73,557.94,101251.0
25,6.3,28.6,22.6,24.4,37.9,15957,NARCOTICS,73,557.94,101251.0
25,6.3,28.6,22.6,24.4,37.9,15957,NARCOTICS,73,557.94,101251.0
25,6.3,28.6,22.6,24.4,37.9,15957,NARCOTICS,73,557.94,101251.0
25,6.3,28.6,22.6,24.4,37.9,15957,NARCOTICS,73,557.94,101251.0
25,6.3,28.6,22.6,24.4,37.9,15957,BATTERY,73,557.94,101251.0
25,6.3,28.6,22.6,24.4,37.9,15957,BATTERY,73,557.94,101251.0
25,6.3,28.6,22.6,24.4,37.9,15957,BATTERY,73,557.94,101251.0
25,6.3,28.6,22.6,24.4,37.9,15957,BATTERY,73,557.94,101251.0
25,6.3,28.6,22.6,24.4,37.9,15957,BATTERY,73,557.94,101251.0
25,6.3,28.6,22.6,24.4,37.9,15957,BATTERY,73,557.94,101251.0
25,6.3,28.6,22.6,24.4,37.9,15957,THEFT,73,557.94,101251.0
25,6.3,28.6,22.6,24.4,37.9,15957,THEFT,73,557.94,101251.0
25,6.3,28.6,22.6,24.4,37.9,15957,BATTERY,73,557.94,101251.0
25,6.3,28.6,22.6,24.4,37.9,15957,BATTERY,73,557.94,101251.0
25,6.3,28.6,22.6,24.4,37.9,15957,BATTERY,73,557.94,101251.0
25,6.3,28.6,22.6,24.4,37.9,15957,BATTERY,73,557.94,101251.0
65,5.8,14.9,9.6,33.6,39.6,16907,THEFT,56,1134.7,258349.0
65,5.8,14.9,9.6,33.6,39.6,16907,THEFT,56,1134.7,258349.0
65,5.8,14.9,9.6,33.6,39.6,16907,BURGLARY,56,1134.7,258349.0
61,11.9,29.0,23.0,41.5,38.9,12765,THEFT,91,440.17,114845.0
61,11.9,29.0,23.0,41.5,38.9,12765,BATTERY,91,440.17,114845.0
61,11.9,29.0,23.0,41.5,38.9,12765,BATTERY,91,440.17,114845.0
61,11.9,29.0,23.0,41.5,38.9,12765,BATTERY,91,440.17,114845.0
61,11.9,29.0,23.0,41.5,38.9,12765,CRIMINAL DAMAGE,91,440.17,114845.0
61,11.9,29.0,23.0,41.5,38.9,12765,NARCOTICS,91,440.17,114845.0
61,11.9,29.0,23.0,41.5,38.9,12765,NARCOTICS,91,440.17,114845.0
61,11.9,29.0,23.0,41.5,38.9,12765,OTHER OFFENSE,91,440.17,114845.0
61,11.9,29.0,23.0,41.5,38.9,12765,BURGLARY,91,440.17,114845.0
61,11.9,29.0,23.0,41.5,38.9,12765,SEX OFFENSE,91,440.17,114845.0
53,3.3,25.9,19.4,20.5,42.1,16563,CRIMINAL DAMAGE,62,639.5,91482.0
53,3.3,25.9,19.4,20.5,42.1,16563,NARCOTICS,62,639.5,91482.0
53,3.3,25.9,19.4,20.5,42.1,16563,BURGLARY,62,639.5,91482.0
53,3.3,25.9,19.4,20.5,42.1,16563,ROBBERY,62,639.5,91482.0
53,3.3,25.9,19.4,20.5,42.1,16563,ROBBERY,62,639.5,91482.0
53,3.3,25.9,19.4,20.5,42.1,16563,ARSON,62,639.5,91482.0
15,4.1,11.6,12.6,19.3,34.0,24336,THEFT,35,2097.93,87607.0
15,4.1,11.6,12.6,19.3,34.0,24336,CRIMINAL DAMAGE,35,2097.93,87607.0
15,4.1,11.6,12.6,19.3,34.0,24336,NARCOTICS,35,2097.93,87607.0
15,4.1,11.6,12.6,19.3,34.0,24336,OTHER OFFENSE,35,2097.93,87607.0
15,4.1,11.6,12.6,19.3,34.0,24336,ROBBERY,35,2097.93,87607.0
67,4.8,34.4,35.9,26.3,40.7,11317,THEFT,89,328.98,148418.0
67,4.8,34.4,35.9,26.3,40.7,11317,THEFT,89,328.98,148418.0
67,4.8,34.4,35.9,26.3,40.7,11317,THEFT,89,328.98,148418.0
67,4.8,34.4,35.9,26.3,40.7,11317,BATTERY,89,328.98,148418.0
67,4.8,34.4,35.9,26.3,40.7,11317,CRIMINAL DAMAGE,89,328.98,148418.0
67,4.8,34.4,35.9,26.3,40.7,11317,CRIMINAL DAMAGE,89,328.98,148418.0
67,4.8,34.4,35.9,26.3,40.7,11317,OTHER OFFENSE,89,328.98,148418.0
67,4.8,34.4,35.9,26.3,40.7,11317,BURGLARY,89,328.98,148418.0
67,4.8,34.4,35.9,26.3,40.7,11317,MOTOR VEHICLE THEFT,89,328.98,148418.0
67,4.8,34.4,35.9,26.3,40.7,11317,ROBBERY,89,328.98,148418.0
67,4.8,34.4,35.9,26.3,40.7,11317,WEAPONS VIOLATION,89,328.98,148418.0
67,4.8,34.4,35.9,26.3,40.7,11317,INTERFERENCE WITH PUBLIC OFFICER,89,328.98,148418.0
69,3.6,29.6,23.0,16.5,41.0,17285,THEFT,66,583.95,98116.0
69,3.6,29.6,23.0,16.5,41.0,17285,THEFT,66,583.95,98116.0
69,3.6,29.6,23.0,16.5,41.0,17285,BATTERY,66,583.95,98116.0
69,3.6,29.6,23.0,16.5,41.0,17285,BATTERY,66,583.95,98116.0
69,3.6,29.6,23.0,16.5,41.0,17285,NARCOTICS,66,583.95,98116.0
69,3.6,29.6,23.0,16.5,41.0,17285,NARCOTICS,66,583.95,98116.0
69,3.6,29.6,23.0,16.5,41.0,17285,OTHER OFFENSE,66,583.95,98116.0
69,3.6,29.6,23.0,16.5,41.0,17285,BURGLARY,66,583.95,98116.0
69,3.6,29.6,23.0,16.5,41.0,17285,BURGLARY,66,583.95,98116.0
69,3.6,29.6,23.0,16.5,41.0,17285,MOTOR VEHICLE THEFT,66,583.95,98116.0
69,3.6,29.6,23.0,16.5,41.0,17285,ROBBERY,66,583.95,98116.0
30,15.2,30.7,15.8,54.8,33.8,10402,THEFT,96,338.83,148317.0
30,15.2,30.7,15.8,54.8,33.8,10402,THEFT,96,338.83,148317.0
30,15.2,30.7,15.8,54.8,33.8,10402,BATTERY,96,338.83,148317.0
30,15.2,30.7,15.8,54.8,33.8,10402,BATTERY,96,338.83,148317.0
30,15.2,30.7,15.8,54.8,33.8,10402,BATTERY,96,338.83,148317.0
30,15.2,30.7,15.8,54.8,33.8,10402,CRIMINAL DAMAGE,96,338.83,148317.0
30,15.2,30.7,15.8,54.8,33.8,10402,BURGLARY,96,338.83,148317.0
30,15.2,30.7,15.8,54.8,33.8,10402,ROBBERY,96,338.83,148317.0
72,0.9,5.1,8.0,3.7,40.5,39523,THEFT,12,7749.61,288819.0
72,0.9,5.1,8.0,3.7,40.5,39523,ASSAULT,12,7749.61,288819.0
72,0.9,5.1,8.0,3.7,40.5,39523,BURGLARY,12,7749.61,288819.0
72,0.9,5.1,8.0,3.7,40.5,39523,BURGLARY,12,7749.61,288819.0
24,2.3,14.7,6.6,12.9,21.7,43198,THEFT,10,2938.64,171687.0
24,2.3,14.7,6.6,12.9,21.7,43198,THEFT,10,2938.64,171687.0
24,2.3,14.7,6.6,12.9,21.7,43198,THEFT,10,2938.64,171687.0
